NE_name,EIC_Code,TSO,Substation_1,Substation_2,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment,Substation_1_lat,Substation_1_lon,Substation_1_id,Substation_2_lat,Substation_2_lon,Substation_2_id
Pasewalk - Güstrow 315,11TD8L315------E,50HERTZ,Pasewalk,Güstrow,220,,,,,,,900, ,,12.12,44.31,572.398,151.14,,53.5084632,14.0341826,39437430.0,53.8164841,12.1881266,32062544.0
Pasewalk - Güstrow 316,11TD8L316------6,50HERTZ,Pasewalk,Güstrow,220,,,,,,,900, ,,12.12,44.31,572.398,151.14,,53.5084632,14.0341826,39437430.0,53.8164841,12.1881266,32062544.0
Perleberg - Stendal/West 516,11TD8L516------N,50HERTZ,Perleberg,Stendal/West,380,,,,,,,2520, ,,2.45,19.38,324.778,75.54,,53.0869294,11.8524416,59707532.0,,,
Preilack - Altdöbern 559,11T0-0000-0948-H,50HERTZ,Preilack,Altdöbern,380,,,,,,,2040, ,,1.25,13.43,224.099,50.51,,51.888923,14.4282757,941198517.0,51.6403209,14.0000117,1068350839.0
Preilack - Streumen 560,11TD8L560------Q,50HERTZ,Preilack,Streumen,380,,,,,,,2040, ,,3,32.39,537.904,121.22,,51.888923,14.4282757,941198517.0,51.3561476,13.3834054,157328339.0
Pulgar - Vieselbach 589,11TD8L589------A,50HERTZ,Pulgar,Vieselbach,380,,,,,,,2520, ,,3.26,27.31,441.08,104.4,,51.1969579,12.3374246,442199284.0,50.9992218,11.1197853,34105558.0
Pulgar - Vieselbach 590,11TD8L590-----0Y,50HERTZ,Pulgar,Vieselbach,380,,,,,,,2520, ,,3.26,27.31,441.08,104.4,,51.1969579,12.3374246,442199284.0,50.9992218,11.1197853,34105558.0
Putlitz/Süd - Perleberg - Putlitz 596,11TD8L596------P,50HERTZ,Putlitz/Süd,Perleberg - Putlitz,380,,,,,,,2520, ,,0.97,8.75,146.335,34.21,,,,,,,
Putlitz/Süd - Stendal/West 515,11TD8L515------V,50HERTZ,Putlitz/Süd,Stendal/West,380,,,,,,,2520, ,,2.06,22.3,369.106,86.65,,,,,,,
Ragow - Förderstedt 532,11TD8L532------0,50HERTZ,Ragow,Förderstedt,380,,,,,,,2520, ,,4.99,46.7,765.606,179.43,,53.8800178,21.3342918,258550287.0,51.9092961,11.6443849,35137205.0
Ragow - Jessen/Nord 502,11TD8L502-----1N,50HERTZ,Ragow,Jessen/Nord,380,,,,,,,2040, ,,1.95,15.45,290.28,61.78,,53.8800178,21.3342918,258550287.0,,,
Ragow - Jessen/Nord 531,11T0-0000-0041-9,50HERTZ,Ragow,Jessen/Nord,380,,,,,,,2520, ,,1.83,17.11,290.974,65.74,,53.8800178,21.3342918,258550287.0,,,
Ragow - Preilack 539,11TD8L539------I,50HERTZ,Ragow,Preilack,380,,,,,,,2280, ,,1.35,10.83,191.574,43.16,,53.8800178,21.3342918,258550287.0,51.888923,14.4282757,941198517.0
Ragow - Preilack 540,11TD8L540------7,50HERTZ,Ragow,Preilack,380,,,,,,,2280, ,,1.35,10.83,191.574,43.16,,53.8800178,21.3342918,258550287.0,51.888923,14.4282757,941198517.0
Ragow - Schönewalde 501,11T0-0000-0040-C,50HERTZ,Ragow,Schönewalde,380,,,,,,,2040, ,,1.7,13.44,246.772,54,,53.8800178,21.3342918,258550287.0,51.8281903,13.1578206,28729619.0
Ragow - Streumen 561,11T0-0000-0043-3,50HERTZ,Ragow,Streumen,380,,,,,,,2504, ,,2.94,22.61,385.002,88.72,,53.8800178,21.3342918,258550287.0,51.3561476,13.3834054,157328339.0
Ragow - Streumen 562,11TD8L562------A,50HERTZ,Ragow,Streumen,380,,,,,,,2504, ,,2.94,22.61,385.002,88.72,,53.8800178,21.3342918,258550287.0,51.3561476,13.3834054,157328339.0
Remptendorf - Röhrsdorf 574,11TD8L574------M,50HERTZ,Remptendorf,Röhrsdorf,380,,,,,,,2504, ,,4.27,25.79,459.835,103.4,,50.534273,11.6460233,128277645.0,50.8586618,12.8151186,23117075.0
Remptendorf - Weida 575,11TD8L575------E,50HERTZ,Remptendorf,Weida,380,,,,,,,2504, ,,1.84,11.1,207.408,45.51,,50.534273,11.6460233,128277645.0,48.3687977,13.3310325,114514790.0
Reuter - Charlottenburg 904,11TD8L904------8,50HERTZ,Reuter,Charlottenburg,380,,,,,,,800, ,,0.13,1.27,235.619,5.27,,48.7742739,9.1461095,28480152.0,52.5220201,13.3155265,46615737.0
Reuter - Mitte 903,11TD8L903------G,50HERTZ,Reuter,Mitte,380,,,,,,,800, ,,0.27,2.37,769.69,10.69,,48.7742739,9.1461095,28480152.0,53.5389732,9.6346921,23485187.0
Röhrsdorf - Weida 207,11TD8L207------H,50HERTZ,Röhrsdorf,Weida,220,,,,,,,790, ,,7.59,31.89,348.717,98.32,,50.8586618,12.8151186,23117075.0,48.3687977,13.3310325,114514790.0
Röhrsdorf - Weida 573,11TD8L573------U,50HERTZ,Röhrsdorf,Weida,380,,,,,,,2504, ,,2.58,15.61,270.742,61.65,,50.8586618,12.8151186,23117075.0,48.3687977,13.3310325,114514790.0
Schmölln - Dresden/Süd 555,11TD8L555------W,50HERTZ,Schmölln,Dresden/Süd,380,,,,,,,2500, ,,1,9.39,163.049,36.55,,51.1199666,14.2192312,157807291.0,,,
Schmölln - Dresden/Süd 556,11TD8L556------O,50HERTZ,Schmölln,Dresden/Süd,380,,,,,,,2500, ,,1,9.39,163.049,36.55,,51.1199666,14.2192312,157807291.0,,,
Schönewalde - Jessen/Nord 503,11TD8L503-----1F,50HERTZ,Schönewalde,Jessen/Nord,380,,,,,,,2040, ,,0.25,2.06,36.285,7.95,,51.8281903,13.1578206,28729619.0,,,
Siedenbrünzow - Güstrow 512,11TD8L512-----1E,50HERTZ,Siedenbrünzow,Güstrow,380,,,,,,,2500, ,,3.37,25.05,386.919,93.61,,53.9089372,13.1432379,369680693.0,53.8164841,12.1881266,32062544.0
Siedenbrünzow - Putlitz/Süd 513,11TD8L513-----16,50HERTZ,Siedenbrünzow,Putlitz/Süd,380,,,,,,,2500, ,,2.59,28.07,464.579,109.1,,53.9089372,13.1432379,369680693.0,,,
Stendal/West - Wolmirstedt 487,11T0-0000-0979-2,50HERTZ,Stendal/West,Wolmirstedt,380,,,,,,,3600, ,,0.58,9.29,172.473,37.25,,,,,52.2689842,11.6386899,26472665.0
Stendal/West - Wolmirstedt 488,11T0-0000-0980-P,50HERTZ,Stendal/West,Wolmirstedt,380,,,,,,,3600, ,,0.58,9.29,172.473,37.25,,,,,52.2689842,11.6386899,26472665.0
Stendal/West - Wolmirstedt 489,11TD8L489------K,50HERTZ,Stendal/West,Wolmirstedt,380,,,,,,,2520, ,,1.18,9.63,160.818,37.25,,,,,52.2689842,11.6386899,26472665.0
Stendal/West - Wolmirstedt 490,11TD8L490------9,50HERTZ,Stendal/West,Wolmirstedt,380,,,,,,,2520, ,,1.18,9.63,160.818,37.25,,,,,52.2689842,11.6386899,26472665.0
Streumen - Eula 585,11TD8L585------5,50HERTZ,Streumen,Eula,380,,,,,,,2520, ,,2.95,22.14,356.696,84.36,,51.3561476,13.3834054,157328339.0,53.4520615,10.0027232,28701956.0
Streumen - Eula 586,11TD8L586------Y,50HERTZ,Streumen,Eula,380,,,,,,,2520, ,,2.95,22.14,356.696,84.36,,51.3561476,13.3834054,157328339.0,53.4520615,10.0027232,28701956.0
Streumen - Röhrsdorf 571,11TD8L571------9,50HERTZ,Streumen,Röhrsdorf,380,,,,,,,2504,2504,3150,2.65,19.84,385.788,82.81,,51.3561476,13.3834054,157328339.0,50.8586618,12.8151186,23117075.0
Streumen - Röhrsdorf 572,11TD8L572------1,50HERTZ,Streumen,Röhrsdorf,380,,,,,,,2504,2504,3150,2.65,19.84,385.788,82.81,,51.3561476,13.3834054,157328339.0,50.8586618,12.8151186,23117075.0
Teufelsbruch - Reuter 907,11TD8L907------L,50HERTZ,Teufelsbruch,Reuter,380,,,,,,,1620, ,,0.15,1.69,690.208,7.55,,52.5806648,13.2116827,30132758.0,48.7742739,9.1461095,28480152.0
